"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-05-05;"1Y";-2.99%
"8263";APV;2023-05-05;YTD;-0.53%
"8263";APV;2023-05-06;"1M";-1.86%
"8263";APV;2023-05-06;"3M";-0.55%
"8263";APV;2023-05-06;"6M";"0.97%"
"8263";APV;2023-05-06;"1Y";-2.75%
"8263";APV;2023-05-06;YTD;-0.53%
"8263";APV;2023-05-07;"1M";-1.86%
"8263";APV;2023-05-07;"3M";-0.48%
"8263";APV;2023-05-07;"6M";"0.83%"
"8263";APV;2023-05-07;"1Y";-2.74%
"8263";APV;2023-05-07;YTD;-0.52%
"8263";APV;2023-05-08;"1M";-2.01%
"8263";APV;2023-05-08;"3M";-0.74%
"8263";APV;2023-05-08;"6M";"0.53%"
"8263";APV;2023-05-08;"1Y";-2.88%
"8263";APV;2023-05-08;YTD;-0.67%
"8263";APV;2023-05-09;"1M";-2.15%
"8263";APV;2023-05-09;"3M";-0.81%
"8263";APV;2023-05-09;"6M";-0.07%
"8263";APV;2023-05-09;"1Y";-2.65%
"8263";APV;2023-05-09;YTD;-0.80%
"8263";APV;2023-05-10;"1M";-1.88%
"8263";APV;2023-05-10;"3M";-0.62%
"8263";APV;2023-05-10;"6M";-0.25%
"8263";APV;2023-05-10;"1Y";-2.53%
"8263";APV;2023-05-10;YTD;-0.68%
"8263";APV;2023-05-11;"1M";-1.86%
"8263";APV;2023-05-11;"3M";-0.73%
"8263";APV;2023-05-11;"6M";-0.48%
"8263";APV;2023-05-11;"1Y";-2.77%
"8263";APV;2023-05-11;YTD;-0.78%
"8263";APV;2023-05-12;"1M";-1.75%
"8263";APV;2023-05-12;"3M";-0.79%
"8263";APV;2023-05-12;"6M";-0.54%
"8263";APV;2023-05-12;"1Y";-2.87%
"8263";APV;2023-05-12;YTD;-0.83%
"8263";APV;2023-05-13;"1M";-1.51%
"8263";APV;2023-05-13;"3M";-0.77%
"8263";APV;2023-05-13;"6M";-0.54%
"8263";APV;2023-05-13;"1Y";-2.85%
"8263";APV;2023-05-13;YTD;-0.82%
"8263";APV;2023-05-14;"1M";-1.49%
"8263";APV;2023-05-14;"3M";-0.68%
"8263";APV;2023-05-14;"6M";-0.60%
